gene.name,SGDID,GeneSymbol,GeneLength,BiologicalProcess,MolecularFunction,CellularComponent,essentiality,cln3.1,clb2.1,alpha0,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha98,alpha105,alpha112,alpha119,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_120,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YJR143C,S000003904,PMT4,2289,O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity,endoplasmic reticulum,0,1.56,-0.34,-0.37,-0.33,0,0.51,0.26,0.67,0.07,-0.11,-0.54,-0.13,-0.06,0.3,0.58,0.11,0.3,-0.41,-0.99,-0.26,0.21,-0.1,0.18,-0.29,-0.54,0.1,-0.07,0.41,0.29,NA,-1.35,-0.53,-0.5,-0.13,0.03,0.46,0.78,0.52,0.25,0.09,0.25,0.18,-0.04,-0.01
YJR144W,S000003905,MGM101,810,DNA repair,DNA binding,mitochondrial chromosome,0,0.7,-0.06,-0.14,0.11,-0.27,0.26,-0.02,0.19,-0.49,0.05,0.23,0.11,0.35,0.32,-0.04,0.02,-0.06,-0.04,-0.8,-0.18,0.58,0.3,0.27,-0.02,-0.4,0.13,0.03,-0.3,0.12,0.13,-0.67,-0.53,-0.53,0,0.1,0.1,0.21,0.43,0.31,0.04,0.18,0.19,0.09,0.08
YJR145C,S000003906,RPS4A,1042,protein biosynthesis,structural constituent of ribosome,cytoplasm,0,-0.45,0.07,0.24,-0.06,-0.18,-0.02,-0.38,0.15,-0.03,0.02,-0.14,-0.03,-0.25,0.09,0.35,-0.02,0.38,0.19,0,-0.19,0.5,0.13,0.52,-0.2,0.03,-0.12,-0.06,-1.85,-0.84,0.11,-0.91,-0.11,-0.06,0.23,0.34,0.26,0.31,0.37,0.17,0.14,-0.06,-0.09,-0.22,-0.37
YJR146W,NA,NA,NA,NA,NA,NA,0,-0.32,0.08,0.04,0.08,-0.57,0.15,-0.11,0.33,-0.4,-0.04,-0.08,0,0.14,0.34,0.12,0.12,0.21,-0.17,0.83,0.37,1.08,0.6,-0.32,-0.24,0.1,-0.36,0.58,-2.32,-1.1,0.44,-0.36,-0.24,-0.09,-0.42,0.17,0.1,-0.1,0.07,0.18,0.09,0.18,0.18,0.07,0.18
YJR148W,S000003909,BAT2,1131,branched chain family amino acid biosynthesis,branched-chain-amino-acid transaminase activity,cytoplasm,0,-0.62,1.12,-0.41,0.23,0.08,0.39,0.3,0.52,0.1,0.34,0.07,0.23,-0.14,0.03,-0.08,-0.39,0.1,-0.32,0.09,0.03,0.39,-0.2,-0.63,-1.09,-0.97,-0.53,0.11,0.88,0.34,NA,-0.81,-0.41,-0.35,-0.41,-0.23,-0.18,-0.5,0.41,0.6,0.29,0.19,0.61,0.47,0.3
YJR149W,S000003910,NA,1215,NA,NA,cytoplasm,0,-0.2,0.12,-0.63,1.05,0.8,0.37,-0.08,0.18,0.05,-0.12,0.01,-0.36,-0.28,-0.24,-0.19,-0.19,0.16,-0.17,0.89,-0.46,-0.4,-0.34,-0.46,-0.85,-0.59,-0.11,0.76,0.38,0.11,0.23,0.88,0.3,-0.05,-0.24,-0.03,-0.14,-0.06,-0.09,-0.02,-0.3,-0.09,0.11,-0.14,-0.13
YJR150C,S000003911,DAN1,897,sterol transport,NA,cell wall (sensu Fungi),0,NA,-0.12,0.15,-0.11,0.11,-0.27,0.35,-0.07,0.21,-0.07,0.46,-0.17,-0.01,-0.01,-0.13,-0.23,0.15,-0.27,-1.46,-2.13,-1.29,0.5,1.44,1.38,1.39,1.21,0.58,0.7,0.23,-0.71,-0.01,-0.01,0.64,-0.43,0.23,0.06,0.05,0.13,-0.08,0.06,0.06,-0.35,-0.35,0.01
YJR152W,S000003913,DAL5,1632,allantoate transport,allantoate transporter activity,plasma membrane,0,0,0.26,-0.29,-0.14,-0.05,NA,-0.06,-0.29,-0.03,0.09,0.43,0.03,-0.09,0.33,0.19,0.2,-0.16,NA,0.37,-0.1,0.21,0.34,0.21,-0.59,-0.52,-0.72,-0.02,-0.03,-0.5,0.12,-0.17,-0.17,0.28,0.1,0.02,-0.19,-0.04,0.35,0.09,0.09,0.2,0.23,-1.11,0.32
YJR153W,S000003914,PGU1,1086,pseudohyphal growth,polygalacturonase activity,extracellular,0,0.41,-0.22,2.08,-0.15,0.4,-0.08,-0.17,-0.32,0,-0.03,-0.26,-0.07,-0.31,-0.18,-0.1,-0.28,-0.24,-0.24,0.41,0.07,0.05,-0.05,-0.09,0.05,-0.19,-0.07,0.24,0.36,0.19,0.26,0.3,0.11,0.27,0.21,0.23,0.06,-0.06,-0.26,-0.08,-0.24,-0.06,-0.38,-0.26,0.15
YJR154W,S000003915,NA,1041,NA,NA,cytoplasm,0,0.14,-0.14,0.42,0.24,0.4,0.04,0.38,-0.13,-0.45,-0.19,0.17,-0.17,-0.22,0.32,-0.47,0.04,-0.38,-0.62,0.47,0.2,0.92,0.6,-0.03,NA,-1.08,-1.89,-0.43,0.95,0.32,0.02,-0.74,-0.09,NA,-0.04,0.2,-0.02,0.27,0.34,0.03,0.03,0.23,-0.21,-0.44,0.45
YJR155W,S000003916,AAD10,867,aldehyde metabolism,aryl-alcohol dehydrogenase activity,NA,0,-0.06,-0.3,0.16,NA,0.3,0.23,-0.3,-0.32,-0.47,-0.07,-0.18,0.39,0.04,0.12,0.06,0.11,NA,-0.37,0,0.44,0.94,0.53,0.13,-0.47,-1.03,-0.61,-0.39,-0.03,0.21,0.04,0.26,-0.21,0.07,0.16,-0.09,-0.12,-0.12,0.07,-0.06,-0.07,-0.17,0.05,0.1,0.13
YJR156C,S000003917,THI11,1023,thiamin biosynthesis,protein binding,NA,0,0.04,0.04,-0.07,0.34,0.48,-0.11,0.37,0.11,0.11,-0.1,0.17,-0.21,0.17,0.14,-0.22,-0.16,-0.52,0.01,0.94,0.63,0.44,0.31,0.04,0.06,-0.21,0.41,-0.13,-0.47,-0.2,-0.58,-0.14,-0.16,0.26,-0.39,-0.02,-0.14,0.03,0.24,-0.27,-0.04,0.4,0.03,0.13,0.07
YJR157W,NA,NA,NA,NA,NA,NA,0,0.42,-0.34,-0.01,0.48,0.04,0.03,0.14,-0.21,0.11,-0.06,-0.07,-0.01,0.15,0.06,-0.28,0.16,-0.21,-0.27,0.51,0.81,0.76,0.46,0.25,0.16,-0.44,0.08,0.56,NA,-1.3,-0.15,0.52,-0.04,0.26,0.4,0.11,0,0.17,-0.11,-0.07,-0.37,0.11,-0.51,-0.27,-0.2
YJR158W,S000003919,HXT16,1704,hexose transport,glucose transporter activity,plasma membrane,0,0.62,0.31,-0.15,0.14,0.39,-0.17,0.11,-0.18,0.03,-0.04,0.11,0.01,0.01,0.23,-0.29,0.11,-0.31,0.17,0.65,-0.3,0.37,0.22,-0.44,-0.27,-0.11,-0.2,0.67,NA,NA,0.73,0.28,0.13,-0.25,-0.29,-0.06,0.02,-0.11,0.11,-0.02,0.07,0.24,-0.08,-0.06,0.02
YJR159W,S000003920,SOR1,1074,fructose metabolism,L-iditol 2-dehydrogenase activity,NA,0,0.34,-0.42,-0.06,0.13,0.14,0.01,0.14,0.06,0.06,0.02,-0.25,0.16,-0.29,-0.02,0.13,-0.13,NA,-0.09,1.11,-0.38,0.22,0.42,-0.09,-0.32,0.08,-0.08,0.09,-0.45,-1.52,0.28,0.23,-0.24,-0.19,-0.13,0.01,-0.02,0.24,0.08,0.2,0,0.15,-0.13,-0.3,0.12
YJR160C,S000003921,MPH3,1809,carbohydrate transport,maltose porter activity,plasma membrane,0,0.62,0.26,0.03,0.53,0.28,0.15,-0.11,-0.08,0.11,-0.16,-0.42,-0.18,0.08,-0.08,-0.25,0.01,0.24,0.23,1.05,0.37,0.44,0.54,0.1,0.21,0.39,-0.15,0.39,NA,-3.58,0.29,0.03,-0.08,-0.1,-0.16,0.45,0.56,-0.25,0.03,-0.12,-0.23,0.27,-0.08,-0.1,-0.21
YKL001C,S000001484,MET14,609,methionine metabolism,adenylyl-sulfate kinase activity,cell,0,0.24,-0.2,0.01,0.17,-0.14,-0.04,0.3,1.17,0.66,0.27,-0.36,0.19,-0.26,-0.09,0.07,-0.58,0.07,-0.34,-0.95,-1.01,-0.41,0.76,1.04,0.79,0.17,-0.59,-0.95,-0.06,0.32,NA,-0.08,0.56,-0.18,-0.04,0.15,-0.06,-0.04,-0.31,0.13,0.15,-0.26,0.23,-0.2,-0.06
YKL004W,S000001487,AUR1,1206,sphingolipid metabolism,inositol phosphoceramide synthase activity,Golgi apparatus,1,-0.51,0.1,-0.1,-0.67,-0.82,0.03,-0.08,0.92,-0.01,0.54,-0.01,0.07,-0.33,0.23,0.35,0.15,0.6,0.41,-0.7,-0.06,0.02,0.13,0.34,0.09,0.2,-0.04,0.15,0.09,-0.35,0.01,-1.05,-0.33,-0.38,-0.05,0.17,0.31,0.22,0.06,0.25,0.43,0.23,0.23,-0.31,0.22
YKL006W,S000001489,RPL14A,815,protein biosynthesis,structural constituent of ribosome,cytosolic large ribosomal subunit (sensu Eukarya),0,-0.86,0.14,0.17,-0.09,-0.09,0.13,0.29,0.03,-0.15,-0.08,-0.04,0.19,-0.37,0.01,0.45,-0.16,0.49,-0.39,-0.35,-0.14,0.22,-0.18,0.24,-0.55,-0.56,0.09,-0.13,NA,-0.12,-0.24,-1.2,-0.23,-0.02,0.25,0.57,0.45,0.39,0.62,0.06,-0.1,-0.26,0,-0.34,-0.19
YKL008C,S000001491,LAC1,1257,ceramide biosynthesis,sphingosine N-acyltransferase activity,endoplasmic reticulum,0,0.58,-0.36,-0.3,-0.25,-0.34,NA,0.6,0.6,-0.13,-0.25,-0.54,-0.19,0.06,0.6,0.63,0.2,0.24,-0.68,-0.87,-0.09,0.37,0.33,0.31,0.21,0.24,-0.47,0.12,-0.46,-0.53,0.61,-0.1,0.12,-0.14,-0.48,-0.27,-0.23,-0.08,0.3,0.24,0.1,-0.03,0.33,0.37,-0.14
YKL009W,S000001492,MRT4,711,rRNA processing,NA,nucleus,0,-0.62,0.08,0.42,-0.69,-0.47,0.13,NA,0.46,-0.07,0.35,0.21,0.01,-0.15,0.45,0.11,-0.03,0.42,0.06,-0.46,-0.27,0.29,-0.07,0.15,-0.3,-0.08,-0.19,-0.22,0.67,-0.23,-0.31,-0.93,-0.13,-0.3,0.53,1.01,0.5,0.3,-0.13,-0.03,0.49,0.12,-0.58,-0.67,-0.19
YKL011C,S000001494,CCE1,1062,DNA recombination,endodeoxyribonuclease activity,mitochondrial inner membrane,0,1.26,0.01,-0.25,-0.09,-0.02,-0.15,0.39,-0.13,0.3,0.05,0.23,-0.3,0.1,0.05,-0.11,-0.04,0.05,0.12,0.19,-0.12,-0.38,0,0.09,-0.01,-0.04,-0.06,0.07,-0.69,-0.46,0.45,0.34,0.02,0.04,-0.31,0.24,0.15,0.11,-0.13,-0.25,-0.21,0.3,-0.04,-0.27,0.01
YKL013C,S000001496,ARC19,516,actin cortical patch assembly,structural molecule activity,Arp2/3 protein complex,1,-0.45,-0.06,0.14,0.19,0.14,-0.15,0.12,-0.15,0.03,-0.04,0.06,-0.01,-0.14,0.08,-0.04,-0.12,-0.08,-0.06,-0.25,-0.59,-0.4,-0.29,0.09,-0.2,-0.14,-0.33,0.22,0.27,0.08,0.16,1.05,0.01,-0.53,-0.31,-0.18,-0.21,-0.42,0.05,-0.05,-0.09,0.06,0.34,0.12,0.17
YKL014C,S000001497,URB1,5295,rRNA processing,NA,nucleolus,1,-0.14,0.11,0.15,-0.79,-0.38,-0.11,-0.29,0.1,0.13,0.13,0.22,0.19,0.21,0.05,0.34,0.64,-0.31,0.15,-0.97,0.41,0.19,0.17,0.24,0.38,0.43,0.07,0.02,-0.43,-0.16,-0.17,-1.03,-0.22,-0.39,0.26,0.43,0.54,0.48,0.19,-0.18,0.35,0.11,-0.15,-0.48,0.08
YKL015W,S000001498,PUT3,2940,positive regulation of transcription from Pol II promoter,specific RNA polymerase II transcription factor activity,nucleus,0,-0.01,0,-0.04,-0.74,-0.18,-0.04,0.08,-0.01,0.2,0.32,0.16,0.01,0.06,0.05,-0.02,0.26,NA,0.1,-0.72,0.1,-0.33,-0.16,0.06,0.12,-0.06,-0.45,0.3,-0.01,-0.07,0.15,-0.47,2.23,-0.6,0,-0.38,-0.42,-0.06,0.09,-0.06,0.19,-0.32,0.18,-0.4,0.03
YKL020C,S000001503,SPT23,3249,positive regulation of transcription from Pol II promoter,transcriptional activator activity,endoplasmic reticulum membrane,0,0.68,-0.03,-0.26,-0.15,-0.07,-0.05,-0.24,-0.05,-0.05,0.21,-0.1,0.92,-0.05,-0.2,0.44,0.45,-0.24,-0.22,-0.15,-0.32,-0.03,-0.39,0.3,-0.01,0.05,-0.19,0.32,0.43,NA,0.15,0.19,-0.05,0.39,0.07,-0.04,-0.07,-0.05,-0.04,-0.05,-0.07,-0.34,0.25,-0.1,-0.08
YKL021C,S000001504,MAK11,1407,ribosomal large subunit biogenesis,NA,membrane fraction,1,NA,0.16,0.22,-0.67,-0.34,-0.17,-0.05,0.11,0.17,0.38,0.08,0.01,0.08,0.3,-0.19,0.13,NA,0.19,-0.15,0.44,0.6,0.27,-0.42,0.06,0.34,0.15,0.16,-0.44,-0.98,0.19,-0.8,0.07,0.09,-0.11,0.46,0.26,-0.01,-0.04,NA,0.23,0.18,-0.49,0.27,-0.11
YKL025C,S000001508,PAN3,2040,DNA repair,poly(A)-specific ribonuclease activity,cytoplasm,0,-0.42,0.59,0.09,-0.09,-0.28,0.11,-0.06,0.33,-0.09,0.12,0.09,-0.16,0.04,0.27,0.09,-0.02,0.29,-0.06,-0.4,-0.45,-0.73,-0.43,0.11,0.06,0.02,0.25,0.3,0.15,0.26,0.21,0.27,-0.28,-0.3,0.13,-0.17,-0.52,-0.03,-0.05,0.23,0.17,-0.19,0.28,0.08,0.38
YKL026C,S000001509,GPX1,504,response to oxidative stress,glutathione peroxidase activity,NA,0,-0.49,0.2,0.01,0.39,0.01,0.12,-0.26,0.34,0.24,-0.15,NA,-0.07,-0.11,-0.05,-0.04,-0.1,0.2,-0.41,1.05,0.37,-0.81,0.19,0.39,-0.43,0.05,-1,0.52,0.37,-0.02,0.16,2.76,0.52,0.42,0.13,-0.38,-1.02,-0.62,-0.46,-0.18,-0.98,-0.16,-0.09,0.06,0
YKL027W,S000001510,NA,1344,NA,NA,mitochondrion,0,-0.58,0.46,0.24,-0.02,-0.17,0.21,-0.33,0.37,0.11,0.27,0.23,-0.02,-0.13,0.19,-0.19,-0.1,0.26,0.01,-0.37,0.15,0.07,0.14,0.38,-0.35,0.17,-0.27,0.26,-0.06,-0.77,0.2,-0.69,-0.3,-0.26,0.07,0.23,-0.07,0.12,0.07,0.31,0.37,-0.05,0.23,NA,-0.01
YKL029C,S000001512,MAE1,2010,pyruvate metabolism,malate dehydrogenase (oxaloacetate-decarboxylating) activity,mitochondrion,0,0.58,-0.15,-0.08,-0.9,-0.71,0.29,0.02,0.84,0.2,0.51,0.26,0.09,0.18,0.33,0.09,0.18,0.14,-0.21,-0.97,-0.17,0.56,0.38,0.46,0.2,0.12,0.42,-0.46,0.2,-0.13,NA,-1.5,-0.52,-0.68,0.58,0.55,0.08,0.15,-0.24,0.16,0.91,-0.08,0.01,0.03,0.55
YKL030W,NA,NA,NA,NA,NA,NA,0,0.65,-0.49,-0.28,-0.8,-0.47,0.22,0.35,0.69,0.38,0.38,0.07,0.2,-0.08,0.15,0.25,-0.01,0.2,-0.36,-1.17,-0.32,0.14,0.16,0.46,-0.31,-0.32,0.27,0.03,0.64,-0.4,NA,-1.04,-0.29,-0.02,0.41,0.65,0.29,0.18,-0.17,-0.07,0.2,0,-0.31,0.03,0.13
YKL031W,NA,NA,NA,NA,NA,NA,0,0.61,0.19,0.14,-0.03,-0.09,-0.1,-0.05,0.19,-0.29,-0.03,0.46,-0.12,-0.03,0.23,-0.2,0.02,0.38,-0.05,1.03,0.36,0.19,0.4,0.3,-0.27,-0.5,0.25,0.02,-1.15,-0.54,-0.18,0.39,-0.39,-0.03,-0.11,0.06,-0.13,0.15,-0.13,-0.01,0.2,0.25,0.1,-0.36,0.01
YKL032C,S000001515,IXR1,1794,DNA repair,DNA binding,nuclear chromosome,0,0.48,-0.2,-0.17,-0.36,-0.16,0.35,0.4,0.11,-0.03,-0.11,0,0.28,-0.04,-0.11,0.23,0.23,0.33,-0.36,-1.08,-0.04,0.26,0.49,0.98,0.57,0.33,0.59,-0.18,-0.96,-0.47,-0.11,0.26,0.07,-0.25,-0.32,-0.18,-0.15,0.23,0.05,0.22,0.01,-0.25,0.29,0.15,-0.13
YKL034W,S000001517,TUL1,2277,protein transport,ligase activity,intracellular,0,0.29,-0.34,-0.06,0.26,0,0.26,0.04,0.18,0.07,-0.13,-0.13,0.24,-0.17,-0.32,-0.03,-0.01,0.26,-0.44,0.59,-0.57,-0.6,-0.3,-0.35,0.1,0.28,0.06,0.36,0.12,-0.21,0.13,0.56,0.36,0.05,0.1,0.13,-0.54,-0.06,-0.08,-0.01,-0.19,-0.15,0.11,-0.06,-0.21
YKL035W,S000001518,UGP1,1500,protein amino acid glycosylation,UTP-glucose-1-phosphate uridylyltransferase activity,cytoplasm,1,-0.51,1.09,-0.65,0.37,0.45,0.24,0.06,0.09,-0.08,-0.01,-0.27,-0.37,-0.39,-0.06,0.22,0.3,-0.28,-0.06,-0.56,-1.4,-0.48,0.01,0.14,0.08,0.27,0.26,0.26,0.42,0.01,0.33,0.51,-0.27,0.02,-0.32,-0.99,-0.74,-0.3,0.14,0.6,0.15,-0.42,0.69,0.69,0.23
YKL036C,NA,NA,NA,NA,NA,NA,1,0.5,-0.17,-0.54,0.42,0.43,0.35,0.17,-0.32,0.04,-0.16,-0.47,0.18,-0.47,-0.23,0.42,0.35,-0.12,-0.34,-0.26,-0.86,-0.3,-0.17,0.3,-0.26,-0.05,0.39,0.77,-0.61,-1.35,1.05,0.84,-0.35,-0.1,-0.37,-0.48,-0.46,-0.13,0.43,0.38,-0.12,-0.13,0.26,0.22,0
YKL039W,S000001522,PTM1,1596,NA,NA,NA,0,-0.86,-0.07,-0.07,0.34,0.49,0.15,0.05,0.03,-0.03,0.05,0.02,0.16,-0.06,-0.15,-0.19,0.03,-0.47,-0.09,-0.05,-0.69,-1.09,-0.61,-0.01,0.03,0.23,-0.34,0.3,0.53,0.41,0.03,-0.53,0.32,-0.09,0.26,-0.11,-0.17,-0.16,-0.16,0.13,0.07,-0.11,0.22,0.11,0.22
YKL040C,S000001523,NFU1,771,iron ion homeostasis,NA,mitochondrial matrix,0,-0.4,-0.67,-0.07,0.1,NA,0.11,-0.07,-0.25,0.37,0.27,0,0.4,-0.1,-0.08,0,0.11,-0.1,-0.44,-0.48,-0.31,-0.19,0,0.18,-0.27,-0.04,-0.42,0.38,-0.13,-0.44,0.29,0.58,-0.26,-0.22,0.06,0.1,-0.09,-0.26,0.11,-0.09,-0.02,0.26,0.05,-0.39,0.17
YKL041W,S000001524,VPS24,675,late endosome to vacuole transport,NA,cytoplasm,0,-0.45,-0.27,-0.14,-0.12,0.33,-0.14,-0.23,-0.23,0.09,0.03,0.2,0.34,0.12,0.1,-0.44,0.24,-0.46,0.25,-0.41,-0.14,-0.45,-0.36,0.27,-0.28,-0.09,-0.12,0.22,0.37,0.05,0.03,0.49,0.38,-0.03,-0.13,-0.11,-0.6,-0.24,-0.22,0.04,-0.09,-0.18,0.19,0.27,0.23
YKL042W,S000001525,SPC42,1092,microtubule nucleation,structural constituent of cytoskeleton,central plaque of spindle pole body,1,0.15,-0.32,-0.33,0.24,0.18,0.3,-0.12,-0.44,0.19,-0.39,-0.61,0.95,0.24,0.19,0.28,0.36,-0.57,NA,-1.31,-0.3,1,0.38,-0.13,-0.01,-0.7,-0.81,-0.81,0.53,1.1,0.33,-0.29,-0.59,-0.29,-0.13,0.17,0.29,0.12,0.36,0.06,-0.02,0.12,0.2,0.16,-0.15
YKL043W,S000001526,PHD1,1101,pseudohyphal growth,specific RNA polymerase II transcription factor activity,nucleus,0,-0.14,0.03,0.05,0.31,-0.04,-0.27,-0.19,-0.5,-0.86,-0.57,0.03,-0.16,0.07,0.01,0.16,0.03,-0.14,-0.06,-0.78,-1.83,-0.66,-0.63,-0.17,-0.28,0.1,0.87,0.52,0.86,0.48,0.04,0.51,0.19,-0.15,0.05,-0.51,-0.29,-0.55,-0.14,0.01,0.06,-0.32,0.24,0.4,0.51
YKL044W,NA,NA,NA,NA,NA,NA,0,0.64,-0.14,0.2,0.25,0.04,-0.2,-0.18,-0.31,-0.24,-0.4,-0.03,-0.18,0.04,0.09,-0.09,-0.05,-0.33,-0.07,-1.05,-1.05,0.2,-0.11,-0.36,-0.2,0.16,0.8,0.47,-0.18,0.38,0.1,0.79,0.02,0.7,-0.01,-0.42,-0.09,-0.3,-0.13,-0.84,-0.5,-0.04,0.22,0.23,0.36
YKL045W,S000001528,PRI2,1587,DNA replication initiation,alpha DNA polymerase activity,alpha DNA polymerase:primase complex,1,0.64,-0.69,-0.8,0.86,0.84,0.51,0.14,-0.4,-0.64,-0.8,0.41,0.88,0.75,0.46,-0.1,-0.23,-0.42,-1.21,-0.6,0.09,1.29,0.72,-0.23,0.09,-0.2,-0.57,-0.32,-0.14,0.07,0.23,-1.04,-0.7,0.3,0.21,0.09,0.41,NA,0.65,0.1,0.39,-0.02,-0.12,-0.36,0.07
YKL046C,S000001529,DCW1,1350,cell wall biosynthesis (sensu Fungi),NA,membrane fraction,0,0.29,-0.62,-0.12,0.03,0.43,0.25,0.19,0.09,0.03,-0.08,-0.26,-0.02,-0.08,0.16,0.02,-0.03,-0.31,-0.26,0.07,-0.4,0.49,0.13,-0.86,-0.24,0,-0.03,0.12,0.33,-0.82,0.39,0.55,-0.04,0.02,-0.26,-0.14,0.09,-0.04,0.02,-0.62,0.15,0.04,0.07,0.05,0.11
YKL047W,S000001530,NA,1551,NA,NA,cytoplasm,0,-0.17,0.14,-0.07,-0.2,-0.06,0.01,0.12,0.15,-0.02,0.07,0.1,-0.11,-0.09,0.1,0.13,-0.06,0.42,-0.11,-0.06,0.31,0.03,-0.04,0.44,0.23,0.49,0.8,0.42,-3.35,NA,-0.01,-0.19,0.16,0.09,-0.1,0.33,-0.09,0.19,0,0.04,-0.14,0.26,-0.12,-0.23,-0.21
YKL048C,S000001531,ELM1,1923,protein amino acid phosphorylation,protein serine/threonine kinase activity,contractile ring (sensu Saccharomyces),0,0.42,-0.4,-0.02,-0.17,-0.21,0.38,0.38,0.32,-0.14,-0.04,-0.06,0.35,-0.28,-0.12,0.19,0.29,0.16,-0.24,-0.33,-0.79,-0.57,0.13,0.37,0.54,0.37,-0.13,-0.02,-0.73,-0.43,0.53,-0.19,-0.37,-0.17,-0.24,0.25,-0.27,-0.08,0.16,0.42,0.18,0.27,0.18,0.01,-0.15
YKL049C,S000001532,CSE4,690,mitotic sister chromatid segregation,centromeric DNA binding,condensed nuclear chromosome pericentric region,1,0.74,-0.1,-0.23,-0.04,0.21,0.16,0.41,0.09,0.1,-0.25,0,-0.38,0.02,0.05,-0.04,-0.08,0.4,-0.14,-0.67,-0.7,0.19,0.35,0.55,0.28,0.07,-0.06,-0.3,-0.25,-0.09,0.26,0.08,-0.22,-0.04,-0.05,0.4,0.04,0.31,-0.01,0.05,-0.12,0.07,-0.17,-0.26,-0.09
YKL050C,S000001533,NA,2769,NA,NA,NA,0,0.55,-0.12,-0.2,0.08,-0.14,0.38,0.24,0.26,-0.17,-0.24,-0.11,0.91,-0.22,-0.47,0.19,0.09,0.04,-0.02,0.36,-1.07,0.49,0.16,0.49,-0.11,-0.14,0.04,0.22,-0.35,-0.26,0.49,-0.02,-0.04,0,0.1,0.08,-0.31,-0.15,-0.04,0.16,-0.06,-0.24,0.21,0.12,0.19
YKL051W,S000001534,SFK1,1062,actin cytoskeleton organization and biogenesis,NA,plasma membrane,0,-0.74,0.03,0.67,0.33,-0.17,0.15,-0.21,0.33,-0.19,-0.09,0.06,-0.37,-0.49,-0.06,-0.27,-0.31,0.17,-0.17,0.11,-0.2,-0.28,-0.1,-0.29,-0.25,-0.08,-0.04,0.14,-0.2,0.04,0.19,-0.27,-0.23,-0.54,0.15,-0.06,-0.29,0.01,0.03,0.22,0.41,-0.08,0.28,0.07,0.31
YKL052C,S000001535,ASK1,879,mitotic spindle assembly (sensu Fungi),structural constituent of cytoskeleton,condensed nuclear chromosome kinetochore,1,0,-0.29,0.01,0.03,-0.31,0.77,0.54,0.44,-0.1,0.08,-0.04,0.07,-0.49,-0.25,0.07,-0.1,0.33,-0.62,-0.6,-0.55,0.01,0.61,0.77,0.6,0.42,0.12,0.05,-0.76,-0.26,0.05,-0.38,-0.06,-0.24,-0.12,0.16,-0.16,0.13,0.27,0.35,-0.02,0.02,0.07,0.04,-0.06
YKL053W,NA,NA,NA,NA,NA,NA,0,-0.36,0.21,0.07,-0.21,-0.07,0.03,0.41,0.37,0.16,-0.05,-0.02,-0.52,-0.09,-0.02,0.03,-0.1,0.46,-0.25,-0.62,-0.37,0.21,0.68,0.52,0.12,0.03,-0.41,-0.03,-0.22,-0.27,0.18,-0.04,-0.22,-0.61,-0.1,0.16,0.13,0.13,0.19,0.08,-0.15,0.27,0.11,-0.01,0.07
YKL056C,S000001539,NA,504,NA,NA,cytoplasm,0,-0.89,-0.12,0.13,-0.1,-0.09,0.05,-0.1,0.26,-0.03,0.05,-0.09,-0.06,-0.38,0.14,0.35,-0.29,0.63,-0.18,-0.46,-0.32,0.11,-0.14,0.23,-0.62,-0.67,0.02,-0.22,1.45,0.05,-0.3,-0.78,-0.33,-0.25,-0.08,0.33,0.49,0.2,0.52,0.17,0.29,-0.01,-0.05,-0.28,-0.23
YKL059C,S000001542,MPE1,1326,mRNA polyadenylylation,NA,mRNA cleavage and polyadenylation specificity factor complex,1,-0.56,-0.07,-0.29,-0.29,-0.14,0.05,0.3,0.02,0.2,0.03,0.37,0.05,0.02,-0.12,-0.27,0.33,0,-0.02,0.42,-0.43,-0.46,0.09,-0.84,0.36,0.42,0.3,-0.13,-0.38,0.04,0.08,0.11,0.37,0.14,0.07,-0.3,-0.1,-0.29,0.14,0.14,-0.03,-0.24,-0.15,-0.05,0.18
YKL060C,S000001543,FBA1,1080,gluconeogenesis,fructose-bisphosphate aldolase activity,cytoplasm,1,0.1,0.04,0,-0.2,0.16,-0.13,0.25,-0.03,0.15,0.05,-0.04,0.05,-0.18,-0.07,0.07,0.12,-0.1,-0.01,-0.1,-0.58,0.33,-0.03,-0.15,-0.35,-0.21,-0.26,-0.53,1.52,0.05,-0.35,-0.12,-0.2,0.52,0.65,0.24,0.03,-0.04,0.04,NA,-0.25,-0.66,-0.19,0.11,-0.13
YKL061W,S000001544,NA,342,NA,NA,endosome,0,-0.25,-0.2,-0.31,0.11,0.3,-0.41,0.53,-0.2,0.14,-0.38,0.22,-0.29,0.05,-0.07,-0.12,0.24,0.3,-0.26,-0.66,-0.52,-0.21,0.1,0.44,-0.24,0.3,-0.11,0.07,0.3,-0.25,0.01,0.65,-0.16,0.18,0.35,0.4,0.18,0.12,-0.18,-0.37,-0.23,0.11,-0.53,-0.37,-0.16
